"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"04","00400","22380","AZ","Flagstaff, AZ (Metro)","Coconino County--Flagstaff City",134421,1 
"04","00500","39140","AZ","Prescott, AZ (Metro)","Yavapai County",211033,1 
"04","00600"," ","AZ"," ","Mohave & La Paz Counties--Lake Havasu City",20489,0.093 
"04","00600","29420","AZ","Lake Havasu City-Kingman, AZ (Metro)","Mohave & La Paz Counties--Lake Havasu City",200186,0.907 
"04","00700","49740","AZ","Yuma, AZ (Metro)","Yuma County--Yuma City",195751,1 
"04","00800"," ","AZ"," ","Gila, Graham, Greenlee & Pinal (East) Counties",8437,0.077 
"04","00800","37740","AZ","Payson, AZ (Micro)","Gila, Graham, Greenlee & Pinal (East) Counties",53597,0.487 
"04","00800","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Gila, Graham, Greenlee & Pinal (East) Counties",10860,0.099 
"04","00800","40940","AZ","Safford, AZ (Micro)","Gila, Graham, Greenlee & Pinal (East) Counties",37220,0.338 
"04","00803","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Pinal County (North)--Apache Junction City",123512,1 
"04","00805","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",114145,1 
"04","00807","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",127253,1 
"04","00900","35700","AZ","Nogales, AZ (Micro)","Cochise & Santa Cruz Counties--Sierra Vista City",47420,0.265 
"04","00900","43420","AZ","Sierra Vista-Douglas, AZ (Metro)","Cochise & Santa Cruz Counties--Sierra Vista City",131346,0.735 
"05","00100","22220","AR","Fayetteville-Springdale-Rogers, AR-MO (Metro)","Benton County",221339,1 
"05","00200","22220","AR","Fayetteville-Springdale-Rogers, AR-MO (Metro)","Washington County",203065,1 
"05","00300"," ","AR"," ","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",52294,0.338 
"05","00300","22220","AR","Fayetteville-Springdale-Rogers, AR-MO (Metro)","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",15717,0.102 
"05","00300","25460","AR","Harrison, AR (Micro)","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",45233,0.292 
"05","00300","34260","AR","Mountain Home, AR (Micro)","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",41513,0.268 
"05","00400"," ","AR"," ","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",98864,0.73 
"05","00400","12900","AR","Batesville, AR (Micro)","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",36647,0.27 
"05","00500"," ","AR"," ","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",51467,0.285 
"05","00500","27860","AR","Jonesboro, AR (Metro)","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",86730,0.481 
"05","00500","37500","AR","Paragould, AR (Micro)","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",42090,0.233 
"05","00600","14180","AR","Blytheville, AR (Micro)","Crittenden, Mississippi & Craighead (East) Counties",46480,0.434 
"05","00600","27860","AR","Jonesboro, AR (Metro)","Crittenden, Mississippi & Craighead (East) Counties",9713,0.091 
"05","00600","32820","AR","Memphis, TN-MS-AR (Metro)","Crittenden, Mississippi & Craighead (East) Counties",50902,0.475 
"05","00700"," ","AR"," ","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",36443,0.328 
"05","00700","22620","AR","Forrest City, AR (Micro)","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",28258,0.254 
"05","00700","25760","AR","Helena-West Helena, AR (Micro)","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",21757,0.196 
"05","00700","27860","AR","Jonesboro, AR (Metro)","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",24583,0.221 
"05","00800"," ","AR"," ","White, Jackson, Prairie & Woodruff Counties",33972,0.306 
"05","00800","42620","AR","Searcy, AR (Micro)","White, Jackson, Prairie & Woodruff Counties",77076,0.694 
"05","00900","30780","AR","Little Rock-North Little Rock-Conway, AR (Metro)","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",197726,1 
"05","01000","30780","AR","Little Rock-North Little Rock-Conway, AR (Metro)","Pulaski County (Central)--Little Rock City",185022,1 
"05","01100","30780","AR","Little Rock-North Little Rock-Conway, AR (Metro)","Faulkner & Lonoke Counties",181593,1 
"05","01200","30780","AR","Little Rock-North Little Rock-Conway, AR (Metro)","Saline County",107118,1 
"05","01300"," ","AR"," ","Pope, Johnson, Yell, Conway & Perry Counties",46813,0.332 
"05","01300","30780","AR","Little Rock-North Little Rock-Conway, AR (Metro)","Pope, Johnson, Yell, Conway & Perry Counties",10445,0.074 
"05","01300","40780","AR","Russellville, AR (Micro)","Pope, Johnson, Yell, Conway & Perry Counties",83939,0.594 
"05","01400","22900","AR","Fort Smith, AR-OK (Metro)","Sebastian & Crawford Counties",187692,1 
"05","01500"," ","AR"," ","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",103220,1 
"05","01600"," ","AR"," ","Garland, Hot Spring, Clark & Montgomery Counties",9487,0.059 
"05","01600","11660","AR","Arkadelphia, AR (Micro)","Garland, Hot Spring, Clark & Montgomery Counties",22995,0.142 
"05","01600","26300","AR","Hot Springs, AR (Metro)","Garland, Hot Spring, Clark & Montgomery Counties",96024,0.595 
"05","01600","31680","AR","Malvern, AR (Micro)","Garland, Hot Spring, Clark & Montgomery Counties",32923,0.204 
"05","01700"," ","AR"," ","Jefferson, Grant & Arkansas (Northwest) Counties",11441,0.107 
"05","01700","30780","AR","Little Rock-North Little Rock-Conway, AR (Metro)","Jefferson, Grant & Arkansas (Northwest) Counties",17853,0.167 
"05","01700","38220","AR","Pine Bluff, AR (Metro)","Jefferson, Grant & Arkansas (Northwest) Counties",77435,0.726 
"05","01800"," ","AR"," ","Southeast Arkansas",84256,0.787 
"05","01800","38220","AR","Pine Bluff, AR (Metro)","Southeast Arkansas",22823,0.213 
"05","01900"," ","AR"," ","South Central Arkansas",8116,0.077 
"05","01900","15780","AR","Camden, AR (Micro)","South Central Arkansas",31488,0.298 
"05","01900","20980","AR","El Dorado, AR (Micro)","South Central Arkansas",41639,0.394 
"05","01900","31620","AR","Magnolia, AR (Micro)","South Central Arkansas",24552,0.232 
"05","02000"," ","AR"," ","Southwest Arkansas",18936,0.177 
"05","02000","26260","AR","Hope, AR (Micro)","Southwest Arkansas",31606,0.295 
"05","02000","45500","AR","Texarkana, TX-AR (Metro)","Southwest Arkansas",56633,0.528 
"06","00101","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (North)--Berkeley & Albany Cities",131119,1 
"06","00102","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities",158091,1 
"06","00103","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (Northeast)--Oakland (East) & Piedmont Cities",125229,1 
"06","00104","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (North Central)--Oakland City (South Central)",124608,1 
"06","00105","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",163534,1 
"06","00106","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland",134752,1 
