"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop14","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Pop 2014 estimate fr county level ests","puma12 to cbsa alloc factor"
"45","01102","34820","SC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metro)","Horry County (Southeast)--Myrtle Beach, North Myrtle Beach Cities & Socastee (East)",156371.04,1 
"45","01201","16700","SC","Charleston-North Charleston, SC (Metro)","Dorchester (North & West) & Berkeley (Southwest) Counties--Summerville Town & Ladson",155167.75,1 
"45","01202","16700","SC","Charleston-North Charleston, SC (Metro)","Charleston (South & West) & Berkeley (South) Counties--Charleston City",209974.544,1 
"45","01203","16700","SC","Charleston-North Charleston, SC (Metro)","Charleston (Northeast) & Berkeley (North & East) Counties--Mount Pleasant Town",150868.497,1 
"45","01204","16700","SC","Charleston-North Charleston, SC (Metro)","Charleston, Berkeley & Dorchester Counties--North Charleston City",211678.208,1 
"45","01300"," ","SC"," ","Orangeburg, Colleton, Barnwell, Hampton, Bamberg & Allendale Counties",105012,0.538 
"45","01300","36700","SC","Orangeburg, SC (Micro)","Orangeburg, Colleton, Barnwell, Hampton, Bamberg & Allendale Counties",90090,0.462 
"45","01400","25940","SC","Hilton Head Island-Bluffton-Beaufort, SC (Metro)","Beaufort & Jasper Counties--Hilton Head Island, Bluffton Towns & Beaufort City",203022,1 
"45","01500","12260","SC","Augusta-Richmond County, GA-SC (Metro)","Aiken & Edgefield Counties--Aiken & North Augusta Cities",191306,1 
"45","01600"," ","SC"," ","Greenwood, Abbeville & McCormick Counties",9846,0.094 
"45","01600","24940","SC","Greenwood, SC (Micro)","Greenwood, Abbeville & McCormick Counties",94485,0.906 
"46","00100"," ","SD"," ","West South Dakota--Rapid City",14581,0.08 
"46","00100","39660","SD","Rapid City, SD (Metro)","West South Dakota--Rapid City",143638,0.785 
"46","00100","43940","SD","Spearfish, SD (Micro)","West South Dakota--Rapid City",24657,0.135 
"46","00200"," ","SD"," ","Lakota Region",81607,0.787 
"46","00200","38180","SD","Pierre, SD (Micro)","Lakota Region",22063,0.213 
"46","00300"," ","SD"," ","Northeast South Dakota",62453,0.47 
"46","00300","10100","SD","Aberdeen, SD (Micro)","Northeast South Dakota",42391,0.319 
"46","00300","47980","SD","Watertown, SD (Micro)","Northeast South Dakota",27938,0.21 
"46","00400"," ","SD"," ","Jackrabbit Region",59064,0.441 
"46","00400","15100","SD","Brookings, SD (Micro)","Jackrabbit Region",33314,0.249 
"46","00400","26700","SD","Huron, SD (Micro)","Jackrabbit Region",18169,0.136 
"46","00400","33580","SD","Mitchell, SD (Micro)","Jackrabbit Region",23304,0.174 
