"cbsa","state","puma12","stab","cbsaname15","PUMAname","pop14","afact"
"CBSA current as of CBSAyr","FIPS state","puma12","State Postal Code","2015 CBSA Name","PUMA12 Name","Pop 2014 estimate fr county level ests","cbsa to puma12 alloc factor"
" ","18","03400","IN"," ","Dubois, Knox, Spencer, Perry, Pike & Crawford Counties",50910,0.003 
" ","19","00100","IA"," ","Sioux, Clay, Dickinson, OBrien, Lyon, Emmet, Palo Alto & Osceola Counties",85727,0.005 
" ","19","00200","IA"," ","Cerro Gordo, Floyd, Kossuth, Hancock, Winnebago, Mitchell & Worth Counties",63664,0.003 
" ","19","00400","IA"," ","Bremer, Winneshiek, Fayette, Clayton, Allamakee, Chickasaw & Howard Counties",94554,0.005 
" ","19","00600","IA"," ","Webster, Hardin, Hamilton, Butler, Wright, Grundy, Franklin & Humboldt Counties",80350,0.004 
" ","19","00700","IA"," ","Dubuque, Buchanan, Jackson & Delaware Counties--Dubuque City",57918,0.003 
" ","19","00800","IA"," ","Clinton, Muscatine, Jones & Cedar Counties",18411,0.001 
" ","19","01200","IA"," ","Marshall, Benton, Poweshiek, Tama & Iowa Counties",52494,0.003 
" ","19","01800","IA"," ","South Central Iowa",94071,0.005 
" ","19","01900","IA"," ","Northwest Central Iowa--Storm Lake, Denison & Cherokee Region",81341,0.004 
" ","19","02100","IA"," ","Southwest Iowa--Council Bluffs City",58335,0.003 
" ","19","02200","IA"," ","Wapello, Mahaska, Washington, Jefferson, Keokuk, Davis & Van Buren Counties",17699,0.001 
" ","19","02300","IA"," ","Des Moines, Lee, Henry & Louisa Counties",31378,0.002 
" ","20","00100","KS"," ","Northwest Kansas",81298,0.004 
" ","20","00200","KS"," ","North Central Kansas--Salina City",86537,0.005 
" ","20","00802","KS"," ","Shawnee (Outside Topeka City), Osage, Jackson, Brown & Wabaunsee Counties",9815,0.001 
" ","20","00900","KS"," ","Flint Hills Region--Emporia City",53719,0.003 
" ","20","01000","KS"," ","Central Kansas--Hutchinson City",10015,0.001 
" ","20","01100","KS"," ","South Central Kansas",42472,0.002 
" ","20","01200","KS"," ","Southwest Kansas--Dodge City, Garden City & Liberal City",40046,0.002 
" ","20","01400","KS"," ","East Central Kansas",35564,0.002 
" ","20","01500","KS"," ","Southeast Kansas",37203,0.002 
" ","21","00100","KY"," ","Purchase Area Development District",40665,0.002 
" ","21","00200","KY"," ","Pennyrile Area Development District (North)",21949,0.001 
