"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"06","03764","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities",159116,1 
"06","03765","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Southeast)--Long Beach City (East)",130093,1 
"06","03766","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South)--Long Beach City (Southwest & Port)",102211,1 
"06","03767","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (South)--LA City (South/San Pedro)",177298,1 
"06","03768","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Southwest)--Palos Verdes Peninsula",111454,1 
"06","03769","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities",100665,1 
"06","03900","31460","CA","Madera, CA (Metro)","Madera County--Madera City",150865,1 
"06","04101","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Marin County (North & West)--Novato & San Rafael (North) Cities",104847,1 
"06","04102","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities",147562,1 
"06","04701","32900","CA","Merced, CA (Metro)","Merced County (West & South)--Los Banos & Livingston Cities",104617,1 
"06","04702","32900","CA","Merced, CA (Metro)","Merced County (Northeast)--Merced & Atwater Cities",151176,1 
"06","05301","41500","CA","Salinas, CA (Metro)","Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities",174967,1 
"06","05302","41500","CA","Salinas, CA (Metro)","Monterey County (Northeast)--Salinas City",163203,1 
"06","05303","41500","CA","Salinas, CA (Metro)","Monterey (South & East) & San Benito Counties",76887,0.582 
"06","05303","41940","CA","San Jose-Sunnyvale-Santa Clara, CA (Metro)","Monterey (South & East) & San Benito Counties",55269,0.418 
"06","05500","34900","CA","Napa, CA (Metro)","Napa County--Napa City",136484,1 
"06","05700"," ","CA"," ","Nevada & Sierra Counties",3240,0.032 
"06","05700","46020","CA","Truckee-Grass Valley, CA (Micro)","Nevada & Sierra Counties",98764,0.968 
"06","05901","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities",177692,1 
"06","05902","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities",105909,1 
"06","05903","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities",198777,1 
"06","05904","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Central)--Irvine City (Central)",200200,1 
"06","05905","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado",197457,1 
"06","05906","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (North)--Yorba Linda, La Habra & Brea Cities",177007,1 
"06","05907","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (North Central)--Fullerton & Placentia Cities",189619,1 
"06","05908","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities",177943,1 
"06","05909","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (North Central)--Anaheim City (West)",146177,1 
"06","05910","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (North Central)--Anaheim City (East)",190565,1 
"06","05911","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Central)--Orange & Villa Park Cities",137924,1 
"06","05912","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities",166905,1 
"06","05913","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Northwest)--Garden Grove City (East)",159887,1 
"06","05914","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Northwest)--Huntington Beach City",190243,1 
"06","05915","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch",100044,1 
"06","05916","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Central)--Santa Ana City (West)",151620,1 
"06","05917","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Central)--Santa Ana City (East)",164806,1 
"06","05918","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Orange County (Central)--Costa Mesa & Fountain Valley Cities",177457,1 
"06","06101","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Placer County (Southwest)--Roseville City",124136,1 
"06","06102","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town",112465,1 
